x,y,z
10132.3,3.76247e+39,0.427688
10135.8,3.75821e+39,0.428408
10140.1,3.75331e+39,0.429449
10144.4,3.74872e+39,0.430622
10147.9,3.74515e+39,0.43165
10150.1,3.74305e+39,0.432296
10150.9,3.74235e+39,0.432517
10151.8,3.74155e+39,0.432774
10153.2,3.74029e+39,0.433187
10154.9,3.73881e+39,0.433679
10156.6,3.73738e+39,0.434161
10158,3.73624e+39,0.434549
10158.9,3.73556e+39,0.434783
10159.4,3.73514e+39,0.434925
10160.7,3.73415e+39,0.435264
10162.9,3.73261e+39,0.435783
10165.5,3.73087e+39,0.436355
10168,3.72924e+39,0.436855
10170.2,3.72798e+39,0.437205
10171.5,3.72724e+39,0.43739
10172.4,3.72678e+39,0.437497
10174.6,3.72564e+39,0.437718
10178.1,3.72398e+39,0.437921
10182.4,3.72222e+39,0.437912
10186.7,3.72074e+39,0.437627
10190.2,3.7197e+39,0.437182
10192.4,3.71915e+39,0.436813
10193.5,3.7189e+39,0.436606
10195.7,3.71843e+39,0.436133
10199.2,3.7178e+39,0.435249
10203.5,3.71723e+39,0.43404
10207.8,3.71686e+39,0.432755
10211.4,3.71669e+39,0.43169
10213.6,3.71665e+39,0.431053
10214.6,3.71664e+39,0.43075
10216.8,3.71666e+39,0.430158
10220.4,3.71676e+39,0.429284
10224.7,3.71702e+39,0.428391
10229,3.7174e+39,0.427715
10232.5,3.7178e+39,0.427349
10234.7,3.71808e+39,0.42722
10235.8,3.71822e+39,0.427186
10238,3.71853e+39,0.427179
10241.5,3.71908e+39,0.42735
10245.8,3.7198e+39,0.427876
10250.1,3.72056e+39,0.428771
10253.7,3.72123e+39,0.429806
10255.9,3.72164e+39,0.430586
10256.9,3.72185e+39,0.431008
10259.1,3.72227e+39,0.431949
10262.7,3.72295e+39,0.433672
10267,3.72377e+39,0.436034
10271.3,3.72456e+39,0.438629
10274.8,3.72518e+39,0.440895
10277,3.72555e+39,0.44233
10278.1,3.72573e+39,0.44304
10280.3,3.72607e+39,0.444493
10283.8,3.72659e+39,0.446851
10288.1,3.72714e+39,0.449686
10292.4,3.72759e+39,0.452468
10296,3.72788e+39,0.454702
10298.2,3.72802e+39,0.456043
10298.8,3.72806e+39,0.456458
10299.5,3.72808e+39,0.456829
10300.5,3.72813e+39,0.457422
10301.7,3.72816e+39,0.458127
10302.9,3.72819e+39,0.458818
10303.9,3.72821e+39,0.459378
10304.5,3.72821e+39,0.459719
10305.1,3.72821e+39,0.46001
10306.7,3.7282e+39,0.460839
10309.2,3.72814e+39,0.462117
10312.3,3.72799e+39,0.463546
10315.3,3.72777e+39,0.464835
10317.9,3.72754e+39,0.465785
10319.4,3.72737e+39,0.466315
10320.4,3.72726e+39,0.466605
10322.6,3.72698e+39,0.467233
10326.1,3.72646e+39,0.468072
10330.4,3.72571e+39,0.468819
10334.7,3.72484e+39,0.469306
10338.2,3.72404e+39,0.469538
10340.4,3.7235e+39,0.469613
10341.5,3.72323e+39,0.469632
10343.7,3.72266e+39,0.46964
10347.3,3.72168e+39,0.469578
10351.5,3.72041e+39,0.469415
10355.8,3.71906e+39,0.469206
10359.4,3.71787e+39,0.469033
10361.6,3.71712e+39,0.468941
10362.7,3.71674e+39,0.468902
10364.9,3.71596e+39,0.468838
10368.4,3.71465e+39,0.46878
10372.7,3.71302e+39,0.468786
10377,3.71133e+39,0.468877
10380.5,3.7099e+39,0.469018
10382.7,3.709e+39,0.469135
10383.8,3.70855e+39,0.469201
10386,3.70763e+39,0.469354
10389.5,3.70613e+39,0.469646
10393.8,3.70429e+39,0.470069
10398.1,3.70242e+39,0.470559
10401.7,3.70086e+39,0.471008
10403.9,3.6999e+39,0.471303
10404.9,3.69942e+39,0.471452
10407.1,3.69845e+39,0.471762
10410.7,3.69688e+39,0.472269
10415,3.69498e+39,0.472861
10419.3,3.69309e+39,0.473386
10422.8,3.69154e+39,0.47374
10425,3.69059e+39,0.47391
10426.1,3.69012e+39,0.473978
10428.3,3.68918e+39,0.474082
10431.8,3.68767e+39,0.47415
10436.1,3.68587e+39,0.474063
10440.4,3.68411e+39,0.473782
10444,3.68269e+39,0.473399
10446.2,3.68183e+39,0.473091
10446.8,3.68159e+39,0.472993
10447.2,3.68144e+39,0.472931
10447.8,3.6812e+39,0.472826
10448.5,3.68091e+39,0.472695
10449.3,3.68062e+39,0.472558
10449.9,3.68039e+39,0.472439
10450.3,3.68025e+39,0.472364
10450.8,3.68004e+39,0.472257
10452.7,3.67937e+39,0.471876
10455.6,3.6783e+39,0.4712
10459.1,3.67703e+39,0.4703
10462.7,3.67577e+39,0.469329
10465.6,3.67473e+39,0.468486
10467.4,3.67408e+39,0.467953
10468.4,3.67373e+39,0.467661
10470.6,3.67293e+39,0.467002
10474.1,3.67162e+39,0.465913
